К услугам гостей отеля Salut просторные номера со шкафом для одеждыВ 5 ресторанах отеля подают блюда итальянскойНа территории отеля Salut обустроена охраняемая парковка. Поездка от отеля Salut до 3 университетов занимает 10 минут. ;  Отель Salut - уютное и комфортабельное место для приятного отдыха и деловых встреч. Просторные и элегантно оформленные номера, вежливый персонал и широкий выбор удобств подарят гостям незабываемый опыт пребывания. Здесь каждый гость будет ощущать заботу и внимание со стороны всей команды отеля Salut.
Отель Salut расположен на Ленинском проспектеК услугам гостей отеля Salut просторные номера со шкафом для одеждыВ 5 ресторанах отеля подают блюда итальянскойНа территории отеля Salut обустроена охраняемая парковка. Поездка от отеля Salut до 3 университетов занимает 10 минут. ;  Гостиница Арбат Хаус - превосходное место для комфортного проживания в Москве. Сочетание роскоши, стильного дизайна и безупречного сервиса обеспечивает гостям незабываемый опыт. Просторные номера, изысканные рестораны и прекрасные удобства делают отель идеальным выбором для отдыха и деловых поездок.
Гостиница Арбат Хаус расположена в историческом центре МосквыГостиница располагает 129 номерами различных категорий. Все номера оформлены в классическом стиле и имеют бесплатный доступ к Интернету через Wi-Fi. Каждый номер оснащен кондиционеромГостиница предлагает весь спектр услуг: визовая поддержка ;  Пятизвездочный дизайн-отель «СтандАрт» воплощает элегантность и роскошь в каждой детали. Отель предлагает идеальное сочетание комфорта, стиля и качественного обслуживания, чтобы удовлетворить самых требовательных гостей. Превосходный сервис и множество удобств создают безупречные условия для отдыха и работы.
Пятизвездочный дизайн-отель «СтандАрт» расположен в центре МосквыВ современных номерах с уникальным дизайном в ретрофутуристическом стиле создана особая космическая атмосфера. Многоуровневое освещение и индивидуальная система управления кондиционером обеспечивают особый комфорт для каждого гостя.В числе удобств номеров — капсульная кофемашинаПо утрам в современном ресторане YURA сервируют завтрак. По запросу осуществляется доставка еды и напитков в номер. Гости могут воспользоваться услугами консьержа и посетить тренажерный зал с фитнес-зоной. Помимо этогоУслуги консьержа можно заказать на стойке регистрации или онлайн. Также в отеле предлагаются услуги индивидуального электронного консьержаОтель «СтандАрт» находится в 2 остановках метро от Белорусского железнодорожного вокзала;"  Отель «Леон Спа» - идеальное место для полного релакса и освежения духа. Сочетание комфорта, роскоши и первоклассного сервиса создает неповторимую атмосферу расслабления и уюта. Здесь каждый гость может насладиться широким спектром процедур и услуг спа-центра, чтобы ощутить полный подъем души и тела.
В отеле «Леон Спа» открыт спа-центрНа территории всего отеля работает бесплатный Wi-Fi. Просторные номера оформлены в классическом стиле и обставлены светлой современной мебелью. Кроме тогоКаждое утро в московском отеле «Леон Спа» подается завтрак.Гости могут посетить салон красотыСотрудники круглосуточной стойки регистрации могут организовать трансфер. В распоряжении гостей бесплатная парковка на территории отеля ;  Отель Москва Красносельская - идеальное место для комфортного проживания и отдыха. Здесь вы сможете насладиться высоким уровнем сервиса, уютной атмосферой и удобствами, созданными для вашего комфорта. Великолепно оформленные номера, отличная кухня и разнообразие развлечений сделают ваше пребывание в нашем отеле незабываемым.
Отель  Москва Красносельская расположен в Красносельском районеК услугам гостей отель предлагает 292 номера различной категории. В каждом номере: удобная кроватьКаждое утро завтрак подается в ресторане Гарден Гриль и Бар. В круглосуточном магазине гости могут приобрести закуски и предметы первой необходимости.Дополнительные услуги: фитнес-центр ; Отель  Золотое кольцо  - идеальное место для комфортного проживания в сердце Москвы. Благодаря своему уникальному дизайну и современным удобствам, отель создает атмосферу роскоши и уюта. Внимательный персонал всегда готов пойти на встречу и заботиться о каждом госте, делая пребывание незабываемым.
Отель «Золотое кольцо» расположен в центре культурной и деловой жизни Москвыи исторической улицы Старый АрбатВ отеле 293 номера различных категорийи швейцарскими дизайнерами в стиле элегантной классики. Номера оснащены всем необходимым для комфортабельного проживания гостей: кровати с ортопедическими матрасамиВсегда в распоряжении гостей отеля: круглосуточное обслуживание номеровс возможностью аренды персонального места;"  Пятизвездочный отель МонАрх Москва Отель это прекрасное место для комфортного отдыха и деловых поездок. Здесь каждая деталь создана с учетом потребностей гостей - просторные и элегантные номера, роскошный спа-салон, фитнес-центр и превосходный ресторан, где можно насладиться изысканной гастрономией. В отеле МонАрх Москва Отель гарантированно высокий уровень сервиса, добавляющий особый шарм и роскошь каждому пребыванию.
Гостиница МонАрх Москва Отель - это пятизвездочный отельГостиница МонАрх Москва Отель располагает 366 комфортабельными номерами разных категорийТакжеВ отеле есть 2 ресторана;"  Отель Марриотт Империал Плаза - это элегантное и роскошное место для проживания в столице. Здесь гости могут насладиться высоким уровнем сервиса, комфортными номерами и широким спектром услуг, которые обеспечивают самый приятный и беззаботный отдых. Отель предлагает изысканную кухню в своих ресторанах, современное спа-центр и уютные общественные зоны, созданные для максимального удовольствия от пребывания.
Отель Марриотт Империал Плаза расположен в МосквеК услугам гостей отеля 268 номеров и люксов. Интерьеры отеля Moscow Marriott Imperial Plaza - само воплощение стиля ар-деко! Сочетание минимализма и классикиИзумительные хрустальные люстрыТакже в отеле расположены: ресторан Galerie;"  Звезды Арбата Отель и Апартаменты — идеальное место для комфортного пребывания в Москве. Прекрасное сочетание современного дизайна и роскоши создает неповторимую атмосферу уюта и гарантирует незабываемый отдых всем гостям. Расположенный вблизи исторического центра города, отель предлагает легкий доступ ко всем популярным достопримечательностям и удобные условия для работы и отдыха.
Звезды Арбата Отель и Апартаменты расположен на берегу Москвы-реки рядом с историческим центром города недалеко от знаменитого Старого АрбатаВо всех номерах предусмотрена рабочая зонаК услугам гостей многофункциональный фитнес-центр и SPA с джакузи;" Отель «Аквамарин» - идеальный выбор для тех, кто ценит комфорт и качество обслуживания. У нас вас ждут просторные и уютные номера с современным дизайном, а также широкий спектр услуг, созданных с учетом потребностей наших гостей. Наш отель является оазисом спокойствия и релаксации в сердце города, предлагая незабываемые впечатления и возможность полностью насладиться пребыванием в Москве.
Отель «Аквамарин» расположен в самом центре столицы: недалеко от Кремля и Третьяковской галереи;" Отель предлагает уютные и комфортные номера с современными удобствами для проведения приятного отдыха. Вкусная и разнообразная кухня ресторана порадует даже самых взыскательных гурманов. Дружелюбный и внимательный персонал всегда готов помочь с любыми вопросами и пожеланиями гостей.
Все основные достопримечательности столицы находятся в шаговой доступности. До Чистых прудов можно дойти неспешным шагом за 2 минуты      Многие гости приезжают по служебным делам. От нас очень удобно добираться до всех основных учреждений      Этот недорогой отель больше ориентирован на семейный или романтический отдых      Интерьер мини-отеля представляет собой сочетание трех разнонаправленных стилей. Левое крыло стилизовано под модный андеграунд      Отель невелик      В мини-отеле 20 комфортных номеров      На всей территории отеля работает бесплатный Wi-Fi;"  Отель Арткорт Москва Центр - идеальное место для комфортного пребывания в Москве. Здесь гостей ждет высокое качество обслуживания, стильные и удобные номера и широкий спектр услуг. В отеле есть все необходимое для приятного отдыха и успешной работы, что делает его идеальным выбором для различных типов путешественников.
Отель Арткорт Москва Центр расположен в самом центре МосквыОтель находится в 10 минутах ходьбы от КремляГостиница построена на месте старинного особняка и сохранила его исторический фасад. В распоряжении гостей основной ресторан после реновации;"  Восхитительный отель, идеально расположенный в сердце города. Здесь гости могут насладиться первоклассным обслуживанием, роскошными номерами и превосходными удобствами. Отель предлагает идеальный уютный уголок для тех, кто ищет комфорт и роскошь во время своего пребывания.
Гостиница находится в 10 минутах ходьбы от станции метро «Серпуховская» и  «Павелецкая». В 5 минутах ходьбы от Павелецкого вокзала и аэроэкспресса до аэропорта Домодедово. Красная площадь находится всего в 2 остановках на метро.Гостиница предоставляет к Вашему вниманию 139 номеров разных категорий (одноместныйОформленные в классическом стиле номера гостиницы «ВАЛС» оборудованы телевизором;" Отель Mercure Москва Бауманская - это уютное и комфортабельное место для проживания в Москве. Стильный дизайн, просторные номера и отличный сервис создают атмосферу идеального отдыха. Чтобы сделать ваше пребывание еще более приятным, в отеле предлагается широкий выбор услуг и удивительные завтраки.
Отель Mercure Москва Бауманская находится в двух минутах ходьбы от станции метро БауманскаяВсего в отеле Mercure Москва Бауманская 47 номеров различный категории. Все номера оснащены кондиционерами и доступом в Интернет Wi-Fi. В ресторане отеля подают блюда русской и европейской кухни;" Отель  Милан  - это роскошное место, где современный дизайн сливается со спокойствием и высоким уровнем обслуживания. Здесь гости могут насладиться отличной кухней, комфортными номерами и расслабиться в уютной атмосфере. Тщательно продуманные детали и внимание к каждому гостю делают пребывание в отеле  Милан  незабываемым.
Отель «Милан» расположен на юге МосквыЗеленый район МосквыВ отеле 296 номеровВ отеле работает ресторан «Тиберио» с европейской кухнейК услугам гостей – девять конференц-залов с широким спектром возможностей для проведения банкетных и деловых мероприятий любого масштаба и формата.Отель «Милан» - прекрасное место для проведения свадеб;"  Отель «Милан» - идеальное место для комфортного проживания в Москве. Здесь каждая деталь создана для того, чтобы гости чувствовали себя как дома. Прекрасно оборудованные номера, изысканная кухня и безупречный сервис - всё, что необходимо для приятного и расслабляющего отдыха.
Отель «Милан» расположен на юге МосквыЗеленый район МосквыВ отеле 296 номеровВ отеле работает ресторан «Тиберио» с европейской кухнейК услугам гостей – девять конференц-залов с широким спектром возможностей для проведения банкетных и деловых мероприятий любого масштаба и формата.Отель «Милан» - прекрасное место для проведения свадеб;" Главное описание: Четырехзвездочный отель «АЭРОСТАР» - идеальный выбор для деловых и отдыхающих гостей. Отель предлагает высокий уровень обслуживания, комфортные номера и современные удобства, чтобы гости могли расслабиться и насладиться пребыванием в приятной обстановке.
Четырехзвездочный отель «АЭРОСТАР» на Ленинградском проспекте идеален как для деловыхК услугам гостей — 410 комфортабельных номеровПо утрам в ресторане Brasserie Erte подают завтрак «шведский стол»;" Гостиница «Пекин» - идеальный выбор для тех, кто ценит комфорт и изысканность. Величественный интерьер, роскошные номера и внимательный персонал создадут неповторимую атмосферу роскоши и уюта. Отель расположен в самом сердце Москвы, что делает его идеальным местом для отдыха и деловых встреч.
Гостиница «Пекин» расположена в самом центре Москвы на Садовом Кольце (на пересечении с центральной улицей города — Тверской)Отель Пекин находится в шаговой доступности от значимых культурных объектов столицы: Концертный зал имени ЧайковскогоНомерной фонд составляют 151 гостевая комната. Каждый номер имеет свой индивидуальный дизайнВо всех номерах и в лобби гостиницы доступен бесплатный Интернет Wi-Fi.Услуги:3 современных конференц-залагостеприимный консьерж-сервисресторан европейской кухнипанорамный бар авторских коктейлейкафе-пироговаяспортбар с трансляцией матчейтайский СПА-центруютный лобби барсалон красоты ;" Наш уютный бутик-отель  Арбат  - идеальный выбор для тех, кто ценит комфорт и элегантность. Здесь каждая деталь продумана до мелочей, чтобы гости чувствовали себя особенно и уютно. У нас вы найдете просторные и стильные номера, ресторан с изысканной кухней и безупречный сервис, чтобы ваше пребывание было незабываемым.
